с,В
30.0014,1.3164
30.0020,1.3107
30.0025,1.3261
30.0030,1.3617
30.0036,1.4090
30.0041,1.4547
30.0046,1.4856
30.0052,1.4932
30.0057,1.4756
30.0062,1.4370
30.0068,1.3860
30.0073,1.3331
30.0078,1.2885
30.0084,1.2600
30.0089,1.2519
30.0094,1.2633
30.0100,1.2888
30.0105,1.3190
30.0110,1.3437
30.0116,1.3545
30.0121,1.3477
30.0126,1.3257
30.0132,1.2957
30.0137,1.2673
30.0142,1.2496
30.0148,1.2484
30.0153,1.2652
30.0159,1.2963
30.0164,1.3335
30.0169,1.3658
30.0175,1.3823
30.0180,1.3758
30.0185,1.3454
30.0191,1.2973
30.0196,1.2437
30.0201,1.1998
30.0207,1.1788
30.0212,1.1882
30.0217,1.2268
30.0223,1.2857
30.0228,1.3508
30.0233,1.4073
30.0239,1.4430
30.0244,1.4508
30.0249,1.4300
30.0255,1.3862
30.0260,1.3297
30.0265,1.2740
30.0271,1.2312
30.0276,1.2089
30.0281,1.2069
30.0287,1.2180
30.0292,1.2312
30.0297,1.2368
30.0303,1.2311
30.0308,1.2174
30.0313,1.2044
30.0319,1.2024
30.0324,1.2179
30.0329,1.2507
30.0335,1.2926
30.0340,1.3307
30.0346,1.3530
30.0351,1.3534
30.0356,1.3346
30.0362,1.3061
30.0367,1.2805
30.0372,1.2675
30.0378,1.2712
30.0383,1.2889
30.0388,1.3128
30.0394,1.3332
30.0399,1.3418
30.0404,1.3345
30.0410,1.3126
30.0415,1.2808
30.0421,1.2446
30.0426,1.2070
30.0431,1.1685
30.0437,1.1285
30.0442,1.0882
30.0447,1.0516
30.0453,1.0244
30.0458,1.0117
30.0463,1.0163
30.0469,1.0378
30.0474,1.0733
30.0479,1.1184
30.0485,1.1673
30.0490,1.2139
30.0496,1.2525
30.0501,1.2788
30.0507,1.2903
30.0512,1.2861
30.0518,1.2684
30.0523,1.2430
30.0528,1.2188
30.0534,1.2056
30.0539,1.2096
30.0544,1.2311
30.0550,1.2651
30.0555,1.3032
30.0561,1.3369
30.0566,1.3599
30.0571,1.3682
30.0577,1.3601
30.0582,1.3360
30.0588,1.2986
30.0593,1.2544
30.0598,1.2139
30.0604,1.1888
30.0609,1.1876
30.0614,1.2112
30.0620,1.2525
30.0625,1.3005
30.0631,1.3455
30.0636,1.3826
30.0641,1.4117
30.0647,1.4341
30.0652,1.4491
30.0657,1.4525
30.0663,1.4382
30.0668,1.4011
30.0674,1.3403
30.0679,1.2605
30.0684,1.1720
30.0690,1.0887
30.0695,1.0254
30.0701,0.9941
30.0706,1.0001
30.0711,1.0397
30.0717,1.1009
30.0722,1.1670
30.0727,1.2228
30.0733,1.2597
30.0738,1.2783
30.0744,1.2872
30.0749,1.2971
30.0754,1.3155
30.0760,1.3424
30.0765,1.3712
30.0770,1.3925
30.0776,1.3996
30.0781,1.3910
30.0787,1.3703
30.0792,1.3433
30.0797,1.3154
30.0803,1.2892
30.0808,1.2653
30.0813,1.2437
30.0819,1.2249
30.0824,1.2098
30.0830,1.1996
30.0835,1.1951
30.0840,1.1968
30.0846,1.2038
30.0851,1.2142
30.0857,1.2239
30.0862,1.2271
30.0867,1.2172
30.0873,1.1893
30.0878,1.1426
30.0883,1.0838
30.0889,1.0262
30.0894,0.9859
30.0900,0.9758
30.0905,1.0000
30.0910,1.0532
30.0916,1.1231
30.0921,1.1947
30.0926,1.2551
30.0932,1.2969
30.0937,1.3195
30.0943,1.3268
30.0948,1.3248
30.0953,1.3188
30.0959,1.3124
30.0964,1.3070
30.0969,1.3024
30.0975,1.2965
30.0980,1.2864
30.0986,1.2694
30.0991,1.2443
30.0996,1.2123
30.1002,1.1778
30.1007,1.1483
30.1013,1.1324
30.1018,1.1379
30.1023,1.1678
30.1029,1.2186
30.1034,1.2812
30.1039,1.3428
30.1045,1.3906
30.1050,1.4149
30.1056,1.4103
30.1061,1.3773
30.1067,1.3223
30.1072,1.2582
30.1077,1.2018
30.1083,1.1696
30.1088,1.1726
30.1093,1.2111
30.1099,1.2737
30.1104,1.3410
30.1110,1.3929
30.1115,1.4161
30.1120,1.4085
30.1126,1.3772
30.1131,1.3332
30.1136,1.2867
30.1142,1.2439
30.1147,1.2091
30.1153,1.1850
30.1158,1.1741
30.1163,1.1775
30.1169,1.1955
30.1174,1.2271
30.1180,1.2703
30.1185,1.3209
30.1190,1.3729
30.1196,1.4186
30.1201,1.4502
30.1206,1.4625
30.1212,1.4540
30.1217,1.4275
30.1223,1.3884
30.1228,1.3433
30.1233,1.2988
30.1239,1.2608
30.1244,1.2334
30.1250,1.2195
30.1255,1.2204
30.1260,1.2355
30.1266,1.2619
30.1271,1.2931
30.1276,1.3201
30.1282,1.3329
30.1287,1.3262
30.1293,1.3027
30.1298,1.2740
30.1303,1.2567
30.1309,1.2644
30.1314,1.3015
30.1319,1.3605
30.1325,1.4253
30.1330,1.4775
30.1336,1.5031
30.1341,1.4959
30.1346,1.4582
30.1352,1.3985
30.1357,1.3284
30.1362,1.2602
30.1368,1.2043
30.1373,1.1667
30.1379,1.1487
30.1384,1.1476
30.1390,1.1589
30.1395,1.1787
30.1400,1.2044
30.1406,1.2343
30.1411,1.2662
30.1416,1.2960
30.1421,1.3181
30.1426,1.3266
30.1432,1.3178
30.1438,1.2911
30.1445,1.2488
30.1453,1.1963
30.1460,1.1420
30.1467,1.0959
30.1474,1.0678
30.1480,1.0638
30.1486,1.0841
30.1491,1.1229
30.1497,1.1709
30.1504,1.2177
30.1511,1.2553
30.1519,1.2786
30.1527,1.2860
30.1535,1.2784
30.1543,1.2576
30.1550,1.2271
30.1555,1.1919
30.1561,1.1583
30.1566,1.1336
30.1570,1.1242
30.1575,1.1341
30.1580,1.1638
30.1586,1.2084
30.1592,1.2579
30.1598,1.2993
30.1605,1.3203
30.1611,1.3145
30.1618,1.2844
30.1624,1.2412
30.1630,1.2005
30.1635,1.1766
30.1641,1.1774
30.1646,1.2018
30.1652,1.2411
30.1657,1.2817
30.1663,1.3107
30.1669,1.3194
30.1674,1.3064
30.1680,1.2774
30.1685,1.2428
30.1691,1.2133
30.1697,1.1956
30.1702,1.1911
30.1708,1.1976
30.1713,1.2122
30.1719,1.2333
30.1724,1.2600
30.1729,1.2895
30.1735,1.3162
30.1740,1.3326
30.1746,1.3330
30.1751,1.3161
30.1756,1.2868
30.1762,1.2539
30.1767,1.2274
30.1773,1.2161
30.1778,1.2250
30.1783,1.2543
30.1789,1.2970
30.1794,1.3401
30.1799,1.3679
30.1805,1.3681
30.1810,1.3370
30.1815,1.2807
30.1821,1.2122
30.1826,1.1461
30.1831,1.0945
30.1837,1.0635
30.1842,1.0530
30.1847,1.0581
30.1853,1.0716
30.1858,1.0866
30.1864,1.0985
30.1869,1.1053
30.1875,1.1080
30.1880,1.1099
30.1885,1.1146
30.1891,1.1240
30.1896,1.1374
30.1901,1.1517
30.1907,1.1643
30.1912,1.1745
30.1917,1.1844
30.1923,1.1983
30.1928,1.2202
30.1934,1.2519
30.1939,1.2909
30.1944,1.3312
30.1950,1.3645
30.1955,1.3830
30.1960,1.3822
30.1966,1.3630
30.1971,1.3317
30.1976,1.2982
30.1982,1.2712
30.1987,1.2545
30.1992,1.2455
30.1998,1.2374
30.2003,1.2239
30.2008,1.2034
30.2014,1.1803
30.2019,1.1626
30.2024,1.1564
30.2030,1.1630
30.2035,1.1771
30.2040,1.1899
30.2046,1.1925
30.2051,1.1800
30.2057,1.1536
30.2062,1.1197
30.2067,1.0881
30.2073,1.0678
30.2078,1.0639
30.2083,1.0755
30.2089,1.0963
30.2094,1.1174
30.2099,1.1316
30.2105,1.1376
30.2110,1.1398
30.2115,1.1457
30.2121,1.1608
30.2126,1.1855
30.2132,1.2139
30.2137,1.2351
30.2142,1.2381
30.2148,1.2157
30.2153,1.1682
30.2158,1.1033
30.2164,1.0338
30.2169,0.9730
30.2175,0.9310
30.2180,0.9125
30.2185,0.9167
30.2191,0.9389
30.2196,0.9716
30.2201,1.0064
30.2207,1.0359
30.2212,1.0548
30.2217,1.0616
30.2223,1.0589
30.2228,1.0523
30.2233,1.0491
30.2239,1.0563
30.2244,1.0792
30.2250,1.1189
30.2255,1.1713
30.2260,1.2273
30.2266,1.2754
30.2271,1.3045
30.2276,1.3068
30.2282,1.2801
30.2287,1.2283
30.2293,1.1607
30.2298,1.0904
30.2303,1.0302
30.2309,0.9890
30.2314,0.9687
30.2319,0.9646
30.2325,0.9663
30.2330,0.9632
30.2335,0.9495
30.2341,0.9278
30.2346,0.9082
30.2352,0.9035
30.2357,0.9223
30.2362,0.9641
30.2368,1.0191
30.2373,1.0731
30.2378,1.1137
30.2384,1.1359
30.2389,1.1421
30.2394,1.1396
30.2400,1.1355
30.2405,1.1342
30.2411,1.1366
30.2416,1.1411
30.2421,1.1445
30.2427,1.1440
30.2432,1.1377
30.2437,1.1258
30.2443,1.1099
30.2448,1.0916
30.2454,1.0719
30.2459,1.0500
30.2464,1.0245
30.2470,0.9946
30.2475,0.9622
30.2481,0.9318
30.2486,0.9090
30.2492,0.8975
30.2498,0.8984
30.2504,0.9102
30.2510,0.9309
30.2516,0.9580
30.2521,0.9892
30.2527,1.0205
30.2533,1.0473
30.2539,1.0642
30.2544,1.0673
30.2550,1.0549
30.2556,1.0290
30.2561,0.9950
30.2567,0.9603
30.2572,0.9323
30.2578,0.9152
30.2583,0.9089
30.2589,0.9096
30.2594,0.9121
30.2599,0.9135
30.2605,0.9146
30.2610,0.9187
30.2616,0.9294
30.2621,0.9476
30.2626,0.9707
30.2632,0.9938
30.2637,1.0107
30.2643,1.0165
30.2648,1.0086
30.2653,0.9880
30.2659,0.9593
30.2664,0.9305
30.2670,0.9108
30.2675,0.9074
30.2681,0.9221
30.2686,0.9502
30.2692,0.9818
30.2697,1.0058
30.2703,1.0147
30.2708,1.0080
30.2713,0.9913
30.2719,0.9721
30.2724,0.9554
30.2730,0.9418
30.2735,0.9285
30.2741,0.9134
30.2746,0.8974
30.2752,0.8855
30.2757,0.8846
30.2763,0.8992
30.2768,0.9290
30.2773,0.9675
30.2779,1.0034
30.2784,1.0253
30.2789,1.0266
30.2795,1.0090
30.2800,0.9818
30.2806,0.9575
30.2811,0.9464
30.2816,0.9528
30.2822,0.9744
30.2827,1.0043
30.2832,1.0337
30.2838,1.0551
30.2843,1.0636
30.2849,1.0578
30.2855,1.0396
30.2861,1.0122
30.2866,0.9799
30.2872,0.9473
30.2878,0.9197
30.2883,0.9024
30.2889,0.8997
30.2894,0.9121
30.2899,0.9348
30.2905,0.9592
30.2910,0.9765
30.2915,0.9814
30.2921,0.9746
30.2926,0.9618
30.2931,0.9508
30.2937,0.9474
30.2942,0.9524
30.2948,0.9614
30.2953,0.9678
30.2958,0.9661
30.2964,0.9546
30.2969,0.9356
30.2975,0.9141
30.2980,0.8958
30.2985,0.8850
30.2991,0.8843
30.2996,0.8937
30.3001,0.9114
30.3007,0.9334
30.3012,0.9552
30.3018,0.9721
30.3023,0.9818
30.3028,0.9847
30.3034,0.9837
30.3039,0.9822
30.3044,0.9818
30.3050,0.9813
30.3055,0.9780
30.3061,0.9699
30.3066,0.9574
30.3071,0.9432
30.3077,0.9309
30.3082,0.9225
30.3087,0.9175
30.3093,0.9134
30.3098,0.9067
30.3104,0.8955
30.3109,0.8806
30.3114,0.8665
30.3120,0.8597
30.3125,0.8660
30.3131,0.8869
30.3136,0.9172
30.3141,0.9458
30.3147,0.9608
30.3152,0.9547
30.3158,0.9291
30.3163,0.8949
30.3169,0.8673
30.3174,0.8594
30.3179,0.8768
30.3185,0.9147
30.3190,0.9601
30.3196,0.9973
30.3201,1.0139
30.3206,1.0048
30.3212,0.9727
30.3217,0.9270
30.3223,0.8803
30.3228,0.8460
30.3233,0.8346
30.3239,0.8505
30.3244,0.8903
30.3250,0.9428
30.3255,0.9924
30.3260,1.0245
30.3266,1.0312
30.3271,1.0141
30.3277,0.9823
30.3282,0.9480
30.3287,0.9209
30.3293,0.9054
30.3298,0.9007
30.3304,0.9030
30.3309,0.9094
30.3314,0.9188
30.3320,0.9330
30.3325,0.9549
30.3331,0.9859
30.3336,1.0242
30.3341,1.0646
30.3347,1.0994
30.3352,1.1219
30.3358,1.1281
30.3363,1.1167
30.3369,1.0888
30.3374,1.0464
30.3379,0.9932
30.3385,0.9362
30.3390,0.8854
30.3396,0.8524
30.3401,0.8465
30.3406,0.8713
30.3412,0.9223
30.3417,0.9872
30.3423,1.0499
30.3428,1.0947
30.3433,1.1118
30.3439,1.1001
30.3444,1.0676
30.3450,1.0279
30.3455,0.9952
30.3460,0.9799
30.3466,0.9854
30.3471,1.0082
30.3477,1.0411
30.3482,1.0760
30.3487,1.1066
30.3493,1.1290
30.3498,1.1418
30.3503,1.1450
30.3509,1.1398
30.3514,1.1293
30.3520,1.1178
30.3526,1.1099
30.3531,1.1084
30.3537,1.1130
30.3543,1.1208
30.3548,1.1287
30.3554,1.1353
30.3559,1.1417
30.3564,1.1499
30.3570,1.1606
30.3575,1.1719
30.3580,1.1789
30.3586,1.1762
30.3591,1.1610
30.3596,1.1350
30.3602,1.1037
30.3607,1.0749
30.3613,1.0557
30.3618,1.0513
30.3623,1.0637
30.3629,1.0914
30.3634,1.1295
30.3639,1.1702
30.3645,1.2050
30.3650,1.2267
30.3655,1.2310
30.3661,1.2180
30.3666,1.1923
30.3672,1.1617
30.3677,1.1340
30.3682,1.1142
30.3688,1.1027
30.3693,1.0963
30.3698,1.0910
30.3704,1.0859
30.3709,1.0839
30.3714,1.0905
30.3720,1.1094
30.3725,1.1391
30.3730,1.1727
30.3736,1.1997
