с,В
30.0016,0.4696
30.0022,0.4873
30.0028,0.5086
30.0033,0.5286
30.0039,0.5450
30.0044,0.5577
30.0050,0.5668
30.0055,0.5709
30.0061,0.5662
30.0066,0.5480
30.0072,0.5131
30.0077,0.4618
30.0083,0.3991
30.0088,0.3342
30.0094,0.2787
30.0099,0.2439
30.0105,0.2370
30.0111,0.2591
30.0116,0.3044
30.0122,0.3627
30.0127,0.4226
30.0133,0.4753
30.0138,0.5156
30.0144,0.5414
30.0150,0.5525
30.0155,0.5490
30.0161,0.5313
30.0166,0.4997
30.0172,0.4553
30.0177,0.4018
30.0183,0.3468
30.0188,0.3021
30.0194,0.2804
30.0199,0.2895
30.0205,0.3281
30.0211,0.3857
30.0216,0.4452
30.0222,0.4901
30.0227,0.5096
30.0233,0.5026
30.0238,0.4766
30.0244,0.4431
30.0249,0.4131
30.0255,0.3936
30.0260,0.3864
30.0266,0.3888
30.0271,0.3955
30.0277,0.3999
30.0282,0.3974
30.0288,0.3874
30.0294,0.3728
30.0299,0.3594
30.0305,0.3527
30.0310,0.3560
30.0316,0.3687
30.0321,0.3872
30.0327,0.4053
30.0332,0.4171
30.0338,0.4188
30.0343,0.4102
30.0349,0.3947
30.0354,0.3780
30.0360,0.3659
30.0365,0.3613
30.0371,0.3631
30.0376,0.3662
30.0382,0.3655
30.0388,0.3589
30.0393,0.3501
30.0399,0.3466
30.0404,0.3555
30.0410,0.3794
30.0415,0.4146
30.0421,0.4522
30.0426,0.4829
30.0432,0.4998
30.0437,0.5010
30.0443,0.4892
30.0448,0.4699
30.0454,0.4491
30.0459,0.4305
30.0465,0.4148
30.0471,0.4000
30.0477,0.3846
30.0483,0.3700
30.0489,0.3607
30.0496,0.3624
30.0503,0.3783
30.0509,0.4074
30.0515,0.4433
30.0521,0.4774
30.0527,0.5015
30.0533,0.5103
30.0538,0.5031
30.0544,0.4825
30.0550,0.4531
30.0555,0.4195
30.0561,0.3846
30.0567,0.3497
30.0573,0.3157
30.0578,0.2842
30.0584,0.2581
30.0589,0.2399
30.0595,0.2293
30.0600,0.2229
30.0606,0.2158
30.0611,0.2047
30.0617,0.1911
30.0622,0.1809
30.0628,0.1815
30.0633,0.1970
30.0639,0.2256
30.0645,0.2597
30.0650,0.2885
30.0656,0.3026
30.0661,0.2975
30.0667,0.2747
30.0672,0.2412
30.0678,0.2064
30.0683,0.1783
30.0689,0.1615
30.0694,0.1567
30.0700,0.1630
30.0705,0.1792
30.0711,0.2051
30.0716,0.2394
30.0722,0.2776
30.0727,0.3114
30.0733,0.3310
30.0738,0.3286
30.0744,0.3031
30.0750,0.2608
30.0755,0.2141
30.0761,0.1764
30.0766,0.1566
30.0772,0.1560
30.0777,0.1684
30.0783,0.1834
30.0788,0.1916
30.0794,0.1888
30.0799,0.1780
30.0805,0.1676
30.0810,0.1669
30.0816,0.1819
30.0821,0.2116
30.0827,0.2493
30.0832,0.2848
30.0838,0.3096
30.0844,0.3198
30.0849,0.3171
30.0855,0.3058
30.0860,0.2902
30.0866,0.2722
30.0871,0.2508
30.0877,0.2250
30.0882,0.1959
30.0888,0.1689
30.0893,0.1518
30.0899,0.1514
30.0904,0.1698
30.0910,0.2041
30.0916,0.2472
30.0921,0.2907
30.0927,0.3274
30.0932,0.3528
30.0938,0.3653
30.0943,0.3655
30.0949,0.3551
30.0954,0.3353
30.0960,0.3069
30.0966,0.2714
30.0971,0.2322
30.0977,0.1955
30.0982,0.1686
30.0988,0.1575
30.0993,0.1650
30.0999,0.1896
30.1004,0.2256
30.1010,0.2650
30.1015,0.2992
30.1021,0.3209
30.1026,0.3249
30.1032,0.3092
30.1037,0.2753
30.1043,0.2287
30.1049,0.1785
30.1054,0.1354
30.1060,0.1080
30.1065,0.1000
30.1071,0.1085
30.1076,0.1261
30.1082,0.1451
30.1087,0.1612
30.1093,0.1743
30.1098,0.1873
30.1104,0.2029
30.1109,0.2214
30.1115,0.2409
30.1120,0.2588
30.1126,0.2728
30.1131,0.2819
30.1137,0.2856
30.1142,0.2837
30.1148,0.2766
30.1154,0.2649
30.1160,0.2500
30.1165,0.2347
30.1171,0.2225
30.1177,0.2167
30.1182,0.2185
30.1188,0.2258
30.1193,0.2343
30.1199,0.2394
30.1204,0.2391
30.1210,0.2349
30.1215,0.2304
30.1221,0.2288
30.1226,0.2312
30.1232,0.2359
30.1237,0.2403
30.1243,0.2426
30.1248,0.2431
30.1254,0.2427
30.1259,0.2416
30.1265,0.2371
30.1270,0.2255
30.1276,0.2039
30.1281,0.1728
30.1287,0.1371
30.1292,0.1043
