с,В
0.0000,0.6279
0.0006,0.6329
0.0012,0.6279
0.0019,0.6279
0.0029,0.6329
0.0045,0.6329
0.0052,0.6279
0.0060,0.6279
0.0067,0.6279
0.0074,0.6279
0.0082,0.6329
0.0090,0.6279
0.0098,0.6279
0.0105,0.6329
0.0113,0.6329
0.0121,0.6329
0.0128,0.6279
0.0135,0.6329
0.0142,0.6279
0.0149,0.6329
0.0155,0.6228
0.0162,0.6279
0.0169,0.6329
0.0176,0.6329
0.0183,0.6279
0.0190,0.6329
0.0197,0.6279
0.0203,0.6279
0.0210,0.6279
0.0217,0.6279
0.0223,0.6329
0.0230,0.6279
0.0238,0.6228
0.0246,0.6279
0.0255,0.6279
0.0263,0.6279
0.0270,0.6279
0.0277,0.6329
0.0283,0.6279
0.0290,0.6279
0.0298,0.6279
0.0306,0.6279
0.0314,0.6279
0.0322,0.6279
0.0329,0.6279
0.0337,0.6279
0.0344,0.6329
0.0351,0.6228
0.0358,0.6279
0.0365,0.6228
0.0372,0.6279
0.0380,0.6279
0.0387,0.6279
0.0395,0.6279
0.0402,0.6279
0.0409,0.6279
0.0417,0.6279
0.0424,0.6279
0.0431,0.6329
0.0439,0.6279
0.0446,0.6279
0.0453,0.6279
0.0460,0.6329
0.0468,0.6228
0.0475,0.6228
0.0481,0.6329
0.0487,0.6279
0.0494,0.6329
0.0500,0.6329
0.0506,0.6329
0.0512,0.6279
0.0518,0.6279
0.0525,0.6329
0.0531,0.6329
0.0537,0.6228
0.0544,0.6279
0.0550,0.6279
0.0556,0.6279
0.0562,0.6329
0.0568,0.6279
0.0575,0.6279
0.0581,0.6329
0.0587,0.6279
0.0593,0.6279
0.0599,0.6329
0.0606,0.6279
0.0612,0.6279
0.0618,0.6279
0.0624,0.6279
0.0630,0.6279
0.0636,0.6279
0.0643,0.6279
0.0649,0.6329
0.0655,0.6329
0.0661,0.6228
0.0667,0.6329
0.0673,0.6329
0.0680,0.6279
0.0686,0.6329
0.0692,0.6279
0.0698,0.6279
0.0705,0.6329
0.0712,0.6329
0.0719,0.6279
0.0725,0.6279
0.0732,0.6279
0.0739,0.6279
0.0745,0.6279
0.0752,0.6279
0.0758,0.6279
0.0765,0.6329
0.0771,0.6279
0.0778,0.6279
0.0785,0.6279
0.0791,0.6279
0.0798,0.6279
0.0804,0.6228
0.0811,0.6279
0.0817,0.6329
0.0824,0.6279
0.0830,0.6279
0.0836,0.6279
0.0843,0.6279
0.0849,0.6279
0.0855,0.6329
0.0862,0.6329
0.0868,0.6329
0.0875,0.6329
0.0881,0.6279
0.0887,0.6279
0.0893,0.6279
0.0900,0.6279
0.0906,0.6279
0.0913,0.6329
0.0920,0.6279
0.0926,0.6329
0.0933,0.6329
0.0940,0.6279
0.0947,0.6279
0.0953,0.6279
0.0960,0.6380
0.0967,0.6279
0.0974,0.6279
0.0980,0.6279
0.0987,0.6279
0.0994,0.6279
0.1001,0.6329
0.1007,0.6279
0.1014,0.6279
0.1022,0.6279
0.1028,0.6279
0.1035,0.6279
0.1042,0.6329
0.1049,0.6279
0.1055,0.6279
0.1063,0.6329
0.1070,0.6279
0.1076,0.6279
0.1083,0.6279
0.1089,0.6329
0.1096,0.6279
0.1103,0.6279
0.1110,0.6329
0.1117,0.6279
0.1123,0.6329
0.1130,0.6329
0.1137,0.6329
0.1143,0.6279
0.1149,0.6279
0.1156,0.6279
0.1163,0.6279
0.1169,0.6228
0.1175,0.6279
0.1181,0.6279
0.1188,0.6279
0.1195,0.6279
0.1201,0.6279
0.1208,0.6279
0.1215,0.6329
0.1222,0.6329
0.1229,0.6279
0.1235,0.6329
0.1242,0.6329
0.1248,0.6279
0.1255,0.6329
0.1261,0.6329
0.1268,0.6279
0.1275,0.6329
0.1283,0.6279
0.1290,0.6329
0.1297,0.6329
0.1304,0.6279
0.1311,0.6279
0.1318,0.6279
0.1324,0.6329
0.1331,0.6329
0.1338,0.6329
0.1344,0.6329
0.1351,0.6329
0.1358,0.6279
0.1365,0.6279
0.1372,0.6228
0.1379,0.6329
0.1385,0.6279
0.1392,0.6279
0.1399,0.6279
0.1405,0.6279
0.1412,0.6279
0.1419,0.6279
0.1424,0.6279
0.1430,0.6279
0.1437,0.6279
0.1444,0.6329
0.1450,0.6279
0.1456,0.6279
0.1462,0.6329
0.1468,0.6279
0.1474,0.6279
0.1481,0.6329
0.1486,0.6279
0.1492,0.6279
0.1498,0.6279
0.1504,0.6279
0.1510,0.6279
0.1516,0.6279
0.1521,0.6279
0.1527,0.6279
0.1533,0.6329
0.1539,0.6279
0.1545,0.6329
0.1551,0.6279
0.1557,0.6279
0.1563,0.6279
0.1569,0.6279
0.1575,0.6279
0.1581,0.6279
0.1587,0.6279
0.1593,0.6279
0.1599,0.6279
0.1605,0.6279
0.1612,0.6279
0.1618,0.6279
0.1624,0.6329
0.1630,0.6279
0.1636,0.6279
0.1643,0.6279
0.1649,0.6329
0.1656,0.6329
0.1662,0.6329
0.1668,0.6329
0.1675,0.6279
0.1682,0.6329
0.1688,0.6279
0.1695,0.6279
0.1702,0.6329
0.1709,0.6279
0.1715,0.6279
0.1722,0.6279
0.1728,0.6279
0.1734,0.6329
0.1740,0.6279
0.1746,0.6279
0.1752,0.6329
0.1759,0.6329
0.1765,0.6279
0.1772,0.6279
0.1779,0.6279
0.1785,0.6329
0.1791,0.6279
0.1796,0.6279
0.1802,0.6279
0.1808,0.6279
0.1814,0.6329
0.1819,0.6279
0.1825,0.6329
0.1830,0.6279
0.1836,0.6279
0.1841,0.6279
0.1847,0.6329
0.1852,0.6279
0.1858,0.6329
0.1864,0.6279
0.1870,0.6279
0.1877,0.6279
0.1883,0.6329
0.1889,0.6279
0.1895,0.6329
0.1902,0.6279
0.1908,0.6329
0.1914,0.6279
0.1921,0.6329
0.1927,0.6279
0.1934,0.6279
0.1940,0.6279
0.1947,0.6279
0.1954,0.6329
0.1961,0.6279
0.1967,0.6329
0.1974,0.6279
0.1981,0.6279
0.1988,0.6329
0.1994,0.6279
0.2001,0.6279
0.2007,0.6279
0.2013,0.6279
0.2020,0.6279
0.2026,0.6329
0.2033,0.6279
0.2039,0.6329
0.2047,0.6279
0.2054,0.6329
0.2060,0.6279
0.2067,0.6329
0.2073,0.6279
0.2079,0.6279
0.2086,0.6279
0.2093,0.6329
0.2100,0.6279
0.2106,0.6279
0.2113,0.6279
0.2118,0.6279
0.2124,0.6329
0.2130,0.6279
0.2136,0.6329
0.2142,0.6279
0.2147,0.6329
0.2153,0.6279
0.2159,0.6279
0.2165,0.6279
0.2171,0.6279
0.2177,0.6329
0.2183,0.6279
0.2189,0.6279
0.2195,0.6329
0.2201,0.6279
0.2207,0.6329
0.2214,0.6279
0.2220,0.6279
0.2226,0.6329
0.2232,0.6279
0.2238,0.6279
0.2244,0.6329
0.2250,0.6279
0.2256,0.6279
0.2263,0.6279
0.2269,0.6279
0.2276,0.6329
0.2283,0.6279
0.2291,0.6279
0.2297,0.6329
0.2304,0.6279
0.2311,0.6279
0.2318,0.6279
0.2325,0.6329
0.2332,0.6279
0.2339,0.6279
0.2345,0.6329
0.2352,0.6279
0.2359,0.6329
0.2366,0.6329
0.2373,0.6329
0.2380,0.6228
0.2387,0.6329
0.2394,0.6329
0.2400,0.6329
0.2407,0.6329
0.2413,0.6279
0.2420,0.6279
0.2426,0.6279
0.2433,0.6329
0.2440,0.6279
0.2447,0.6279
0.2453,0.6329
0.2460,0.6279
0.2466,0.6228
0.2473,0.6329
0.2479,0.6279
0.2486,0.6329
0.2492,0.6279
0.2498,0.6279
0.2505,0.6329
0.2511,0.6279
0.2517,0.6329
0.2525,0.6329
0.2531,0.6329
0.2538,0.6279
0.2546,0.6329
0.2553,0.6279
0.2558,0.6279
0.2564,0.6279
0.2570,0.6329
0.2575,0.6329
0.2581,0.6279
0.2587,0.6329
0.2592,0.6329
0.2598,0.6329
0.2603,0.6329
0.2610,0.6279
0.2619,0.6279
0.2630,0.6329
0.2639,0.6279
0.2645,0.6279
0.2651,0.6279
0.2658,0.6279
0.2665,0.6329
0.2672,0.6279
0.2679,0.6279
0.2686,0.6329
0.2694,0.6279
0.2703,0.6329
0.2712,0.6329
0.2720,0.6329
0.2728,0.6279
0.2736,0.6279
0.2744,0.6279
0.2752,0.6279
0.2759,0.6329
0.2766,0.6279
0.2773,0.6279
0.2781,0.6329
0.2789,0.6279
0.2797,0.6279
0.2805,0.6279
0.2812,0.6279
0.2821,0.6279
0.2829,0.6279
0.2836,0.6279
0.2842,0.6329
0.2849,0.6279
0.2858,0.6279
0.2866,0.6279
0.2874,0.6329
0.2883,0.6279
0.2890,0.6279
0.2898,0.6279
0.2905,0.6279
0.2913,0.6279
0.2919,0.6279
0.2926,0.6279
0.2932,0.6329
0.2938,0.6279
0.2944,0.6228
0.2950,0.6279
0.2956,0.6329
0.2962,0.6279
0.2968,0.6329
0.2974,0.6279
0.2980,0.6279
0.2986,0.6279
0.2993,0.6279
0.2999,0.6329
0.3005,0.6380
0.3011,0.6228
0.3017,0.6329
0.3023,0.6228
0.3029,0.6329
0.3035,0.6329
0.3041,0.6279
0.3047,0.6329
0.3053,0.6279
0.3059,0.6279
0.3066,0.6279
0.3072,0.6329
0.3079,0.6279
0.3086,0.6279
0.3092,0.6279
0.3099,0.6279
0.3106,0.6228
0.3113,0.6329
0.3120,0.6380
0.3127,0.6329
0.3134,0.6228
0.3141,0.6279
0.3147,0.6279
0.3154,0.6279
0.3161,0.6380
0.3167,0.6329
0.3176,0.6279
0.3182,0.6329
0.3189,0.6329
0.3196,0.6279
0.3205,0.6329
0.3213,0.6279
0.3221,0.6329
0.3230,0.6329
0.3237,0.6329
0.3245,0.6329
0.3252,0.6279
0.3260,0.6279
0.3267,0.6329
0.3274,0.6329
0.3280,0.6279
0.3287,0.6329
0.3295,0.6279
0.3303,0.6279
0.3311,0.6279
0.3318,0.6329
0.3326,0.6329
0.3334,0.6279
0.3342,0.6329
0.3348,0.6329
0.3355,0.6329
0.3361,0.6279
0.3368,0.6279
0.3374,0.6279
0.3383,0.6279
0.3393,0.6279
0.3400,0.6279
0.3408,0.6329
0.3417,0.6279
0.3427,0.6329
0.3435,0.6329
0.3442,0.6279
0.3449,0.6279
0.3456,0.6279
0.3464,0.6279
0.3471,0.6279
0.3479,0.6279
0.3485,0.6279
0.3492,0.6329
0.3499,0.6279
0.3506,0.6329
0.3513,0.6279
0.3520,0.6279
0.3527,0.6279
0.3534,0.6228
0.3540,0.6279
0.3548,0.6329
0.3555,0.6279
0.3561,0.6279
0.3568,0.6329
0.3575,0.6228
0.3581,0.6329
0.3588,0.6279
0.3595,0.6329
0.3602,0.6279
0.3609,0.6380
0.3616,0.6279
0.3623,0.6329
0.3630,0.6329
0.3637,0.6329
0.3644,0.6279
0.3651,0.6279
0.3658,0.6279
0.3665,0.6329
0.3671,0.6329
0.3678,0.6228
0.3685,0.6279
0.3691,0.6329
0.3698,0.6279
0.3704,0.6279
0.3711,0.6279
0.3717,0.6279
0.3723,0.6329
0.3729,0.6279
0.3735,0.6279
0.3741,0.6279
0.3747,0.6279
0.3753,0.6279
0.3759,0.6329
0.3765,0.6279
0.3771,0.6279
0.3777,0.6329
0.3784,0.6279
0.3790,0.6329
0.3796,0.6279
0.3802,0.6329
0.3808,0.6279
0.3815,0.6329
0.3821,0.6329
0.3828,0.6329
0.3835,0.6279
0.3841,0.6279
0.3848,0.6279
0.3855,0.6279
0.3862,0.6228
0.3869,0.6329
0.3876,0.6279
0.3883,0.6329
0.3889,0.6279
0.3896,0.6279
0.3902,0.6279
0.3909,0.6279
0.3916,0.6279
0.3922,0.6279
0.3929,0.6329
0.3936,0.6279
0.3944,0.6329
0.3951,0.6329
0.3960,0.6279
0.3968,0.6329
0.3976,0.6329
0.3984,0.6329
0.3993,0.6279
0.4001,0.6329
0.4009,0.6279
0.4016,0.6279
0.4023,0.6329
0.4032,0.6279
0.4040,0.6279
0.4048,0.6279
0.4056,0.6329
0.4063,0.6279
0.4070,0.6329
0.4077,0.6329
0.4085,0.6329
0.4093,0.6279
0.4100,0.6279
0.4109,0.6329
0.4116,0.6329
0.4123,0.6329
0.4130,0.6329
0.4137,0.6329
0.4144,0.6329
0.4152,0.6329
0.4159,0.6329
0.4166,0.6329
0.4172,0.6279
0.4178,0.6279
0.4184,0.6279
0.4190,0.6279
0.4195,0.6279
0.4201,0.6329
0.4206,0.6279
0.4212,0.6279
0.4217,0.6329
0.4223,0.6279
0.4228,0.6279
0.4234,0.6228
0.4239,0.6329
0.4245,0.6279
0.4250,0.6279
0.4256,0.6279
0.4261,0.6279
0.4267,0.6329
0.4273,0.6329
0.4279,0.6279
0.4286,0.6279
0.4292,0.6228
0.4298,0.6279
0.4303,0.6228
0.4309,0.6279
0.4315,0.6228
0.4320,0.6279
0.4326,0.6279
0.4332,0.6329
0.4338,0.6329
0.4344,0.6279
0.4349,0.6329
0.4355,0.6279
0.4361,0.6279
0.4368,0.6279
0.4374,0.6329
0.4381,0.6329
0.4387,0.6228
0.4394,0.6329
0.4401,0.6279
0.4408,0.6279
0.4414,0.6279
0.4421,0.6329
0.4428,0.6279
0.4435,0.6329
0.4442,0.6279
0.4449,0.6279
0.4457,0.6279
0.4464,0.6279
0.4471,0.6279
0.4478,0.6329
0.4485,0.6279
0.4492,0.6329
0.4498,0.6329
0.4505,0.6279
0.4512,0.6279
0.4519,0.6228
0.4526,0.6279
0.4533,0.6279
0.4540,0.6279
0.4547,0.6279
0.4553,0.6279
0.4560,0.6279
0.4567,0.6329
0.4574,0.6279
0.4580,0.6329
0.4587,0.6279
0.4594,0.6279
0.4601,0.6329
0.4608,0.6279
0.4615,0.6279
0.4622,0.6279
0.4628,0.6279
0.4634,0.6279
0.4640,0.6329
0.4646,0.6279
0.4653,0.6279
0.4659,0.6329
0.4666,0.6279
0.4672,0.6279
0.4678,0.6279
0.4685,0.6279
0.4692,0.6380
0.4698,0.6380
0.4705,0.6279
0.4711,0.6279
0.4717,0.6279
0.4723,0.6329
0.4729,0.6279
0.4735,0.6279
0.4741,0.6279
0.4748,0.6329
0.4754,0.6329
0.4760,0.6279
0.4767,0.6329
0.4774,0.6279
0.4781,0.6329
0.4789,0.6329
0.4796,0.6279
0.4803,0.6228
0.4810,0.6279
0.4817,0.6329
0.4824,0.6329
0.4831,0.6329
0.4839,0.6329
0.4846,0.6329
0.4853,0.6279
0.4860,0.6279
0.4867,0.6329
0.4874,0.6279
0.4881,0.6279
0.4887,0.6329
0.4894,0.6329
0.4901,0.6329
0.4907,0.6279
0.4914,0.6279
0.4921,0.6279
0.4928,0.6279
0.4935,0.6329
0.4942,0.6279
0.4948,0.6279
0.4955,0.6329
0.4962,0.6279
0.4968,0.6279
0.4975,0.6279
0.4982,0.6279
0.4988,0.6279
0.4995,0.6329
0.5002,0.6329
0.5009,0.6279
0.5015,0.6279
0.5021,0.6279
0.5027,0.6279
0.5034,0.6279
0.5039,0.6329
