с,В
0.0000,1.7368
0.0006,1.7368
0.0011,1.7368
0.0016,1.7368
0.0021,1.7368
0.0027,1.7368
0.0032,1.7419
0.0037,1.7368
0.0043,1.7368
0.0048,1.7368
0.0053,1.7317
0.0058,1.7317
0.0064,1.7419
0.0069,1.7368
0.0074,1.7368
0.0080,1.7368
0.0085,1.7368
0.0090,1.7368
0.0096,1.7317
0.0101,1.7317
0.0106,1.7267
0.0111,1.7368
0.0117,1.7368
0.0122,1.7419
0.0127,1.7368
0.0132,1.7368
0.0138,1.7419
0.0143,1.7368
0.0148,1.7368
0.0154,1.7317
0.0159,1.7317
0.0164,1.7368
0.0169,1.7368
0.0175,1.7419
0.0180,1.7419
0.0185,1.7368
0.0191,1.7368
0.0196,1.7419
0.0201,1.7368
0.0206,1.7368
0.0212,1.7368
0.0217,1.7368
0.0222,1.7368
0.0227,1.7317
0.0233,1.7317
0.0238,1.7368
0.0243,1.7368
0.0249,1.7368
0.0254,1.7368
0.0260,1.7368
0.0265,1.7368
0.0270,1.7419
0.0275,1.7368
0.0281,1.7419
0.0286,1.7368
0.0291,1.7317
0.0296,1.7368
0.0302,1.7368
0.0307,1.7368
0.0312,1.7368
0.0317,1.7419
0.0323,1.7368
0.0328,1.7368
0.0333,1.7419
0.0339,1.7317
0.0345,1.7368
0.0351,1.7368
0.0357,1.7368
0.0362,1.7317
0.0367,1.7317
0.0373,1.7368
0.0378,1.7368
0.0384,1.7317
0.0390,1.7368
0.0395,1.7368
0.0401,1.7317
0.0407,1.7317
0.0412,1.7368
0.0418,1.7368
0.0423,1.7317
0.0429,1.7368
0.0435,1.7317
0.0440,1.7368
0.0445,1.7368
0.0451,1.7368
0.0456,1.7317
0.0461,1.7317
0.0466,1.7317
0.0472,1.7368
0.0477,1.7368
0.0482,1.7368
0.0488,1.7419
0.0493,1.7419
0.0498,1.7317
0.0504,1.7368
0.0509,1.7368
0.0514,1.7368
0.0520,1.7368
0.0525,1.7317
0.0530,1.7317
0.0535,1.7317
0.0541,1.7317
0.0546,1.7317
0.0551,1.7317
0.0557,1.7317
0.0562,1.7368
0.0567,1.7368
0.0572,1.7267
0.0578,1.7368
0.0584,1.7419
0.0589,1.7368
0.0594,1.7368
0.0599,1.7368
0.0605,1.7317
0.0610,1.7317
0.0615,1.7368
0.0620,1.7368
0.0626,1.7368
0.0631,1.7368
0.0636,1.7368
0.0641,1.7368
