с,В
0.0000,1.6406
0.0008,1.6355
0.0013,1.6406
0.0021,1.6406
0.0028,1.6355
0.0034,1.6355
0.0040,1.6355
0.0046,1.6355
0.0054,1.6406
0.0060,1.6355
0.0066,1.6355
0.0072,1.6355
0.0079,1.6406
0.0087,1.6406
0.0093,1.6406
0.0104,1.6355
0.0111,1.6305
0.0119,1.6355
0.0125,1.6355
0.0131,1.6355
0.0138,1.6406
0.0146,1.6355
0.0153,1.6355
0.0163,1.6406
0.0169,1.6355
0.0175,1.6355
0.0181,1.6355
0.0186,1.6355
0.0193,1.6406
0.0199,1.6305
0.0206,1.6355
0.0212,1.6355
0.0217,1.6406
0.0222,1.6406
0.0228,1.6355
0.0233,1.6406
0.0238,1.6355
0.0243,1.6305
0.0249,1.6305
0.0254,1.6355
0.0259,1.6355
0.0264,1.6355
0.0270,1.6355
0.0275,1.6355
0.0280,1.6406
0.0285,1.6406
0.0291,1.6355
0.0297,1.6355
0.0303,1.6355
0.0309,1.6355
0.0315,1.6355
0.0320,1.6355
0.0326,1.6305
0.0332,1.6355
0.0337,1.6355
0.0343,1.6355
0.0348,1.6355
0.0353,1.6305
0.0359,1.6305
0.0364,1.6406
0.0370,1.6406
0.0375,1.6355
0.0380,1.6305
0.0386,1.6355
0.0392,1.6406
0.0399,1.6355
0.0405,1.6355
0.0411,1.6305
0.0416,1.6305
0.0421,1.6355
0.0426,1.6305
0.0432,1.6406
0.0437,1.6355
0.0442,1.6355
0.0448,1.6355
0.0453,1.6406
0.0459,1.6355
0.0464,1.6355
0.0469,1.6254
0.0474,1.6355
0.0480,1.6355
0.0485,1.6355
0.0490,1.6305
0.0495,1.6305
0.0501,1.6305
0.0506,1.6355
0.0511,1.6305
0.0516,1.6355
0.0523,1.6355
0.0528,1.6355
0.0533,1.6355
0.0539,1.6355
0.0544,1.6355
0.0549,1.6254
0.0554,1.6355
0.0560,1.6305
0.0565,1.6355
0.0570,1.6355
0.0575,1.6406
0.0581,1.6355
0.0586,1.6254
0.0592,1.6305
0.0597,1.6406
0.0606,1.6305
0.0612,1.6254
0.0617,1.6355
