с,В
0.0010,1.0207
0.0124,1.0258
0.0235,1.0309
0.0346,1.0309
0.0457,1.0258
0.0568,1.0309
0.0679,1.0258
0.0790,1.0258
0.0900,1.0309
0.1011,1.0309
0.1122,1.0258
0.1233,1.0258
0.1343,1.0258
0.1455,1.0258
0.1568,1.0207
0.1679,1.0309
0.1789,1.0258
0.1899,1.0258
0.2010,1.0258
0.2122,1.0258
0.2233,1.0258
0.2345,1.0309
0.2456,1.0309
0.2569,1.0258
0.2680,1.0309
0.2789,1.0258
0.2897,1.0309
0.3005,1.0258
0.3113,1.0258
0.3221,1.0207
0.3331,1.0207
0.3444,1.0258
0.3555,1.0258
0.3664,1.0207
0.3774,1.0258
0.3884,1.0258
0.3995,1.0258
0.4106,1.0258
0.4215,1.0207
0.4325,1.0258
0.4435,1.0258
0.4544,1.0258
0.4654,1.0258
0.4764,1.0258
0.4874,1.0258
0.4984,1.0309
0.5094,1.0207
0.5204,1.0258
0.5314,1.0258
0.5424,1.0258
0.5534,1.0309
0.5643,1.0258
0.5753,1.0258
0.5863,1.0207
0.5974,1.0258
0.6084,1.0258
0.6194,1.0258
0.6303,1.0258
0.6413,1.0258
0.6523,1.0258
0.6633,1.0258
0.6743,1.0258
0.6850,1.0258
0.6957,1.0258
0.7064,1.0258
0.7170,1.0258
0.7278,1.0258
0.7385,1.0309
0.7492,1.0258
0.7599,1.0258
0.7706,1.0258
0.7813,1.0258
0.7923,1.0258
0.8032,1.0258
0.8143,1.0258
0.8252,1.0258
0.8363,1.0309
0.8472,1.0309
0.8582,1.0309
0.8692,1.0258
0.8802,1.0309
0.8909,1.0258
0.9016,1.0258
0.9123,1.0258
0.9230,1.0258
0.9337,1.0309
0.9445,1.0309
0.9551,1.0309
0.9658,1.0359
0.9765,1.0309
0.9874,1.0309
0.9984,1.0359
1.0095,1.0309
1.0205,1.0309
1.0315,1.0359
1.0424,1.0309
1.0534,1.0309
1.0643,1.0309
1.0753,1.0309
1.0862,1.0359
1.0973,1.0309
1.1082,1.0359
1.1192,1.0359
1.1301,1.0309
1.1411,1.0359
1.1520,1.0410
1.1630,1.0359
1.1740,1.0359
1.1849,1.0309
1.1956,1.0359
1.2062,1.0359
1.2169,1.0359
1.2276,1.0359
1.2383,1.0359
1.2490,1.0359
1.2596,1.0359
1.2704,1.0359
1.2810,1.0461
1.2918,1.0359
1.3027,1.0359
1.3137,1.0359
1.3246,1.0359
1.3356,1.0410
1.3465,1.0359
1.3574,1.0410
1.3684,1.0359
1.3794,1.0410
1.3903,1.0359
1.4010,1.0359
1.4117,1.0410
1.4224,1.0410
